WBGene00000001	aap-1	Y110A7A.10	ENSG00000145675;ENSG00000105647;ENSG00000117461;ENSG00000268173;ENSG00000278139	PIK3R1;PIK3R2;PIK3R3;;	Agammaglobulinemia 7, autosomal recessive, 615214|Immunodeficiency 36, 616005|SHORT syndrome, 269880;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, 603387;;;
WBGene00000089	aex-6	Y87G2A.4	ENSG00000069974;ENSG00000041353	RAB27A;RAB27B	Griscelli syndrome, type 2, 607624;
WBGene00000090	age-1	B0334.8	ENSG00000121879;ENSG00000105851;ENSG00000051382;ENSG00000171608	PIK3CA;PIK3CG;PIK3CB;PIK3CD	Breast cancer, somatic, 114480|CLOVE syndrome, somatic, 612918|Colorectal cancer, somatic, 114500|Cowden syndrome 5, 615108|Gastric cancer, somatic, 613659|Hepatocellular carcinoma, somatic, 114550|Keratosis, seborrheic, somatic, 182000|Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501|Nevus, epidermal, somatic, 162900|Nonsmall cell lung cancer, somatic, 211980|Ovarian cancer, somatic, 167000;;;Immunodeficiency 14, 615513
WBGene00000092	ags-3	F32A6.4	ENSG00000121957;ENSG00000160360	GPSM2;GPSM1	Chudley-McCullough syndrome, 604213;
WBGene00000093	agt-1	Y62E10A.5	ENSG00000170430	MGMT	
WBGene00000095	aha-1	C25A1.11	ENSG00000143437;ENSG00000172379	ARNT;ARNT2	Webb-Dattani syndrome, 615926
WBGene00000096	ahr-1	C41G7.5	ENSG00000106546;ENSG00000063438;ENSG00000283321;ENSG00000130751	AHR;AHRR;;NPAS1	
WBGene00000097	aip-1	F58E10.4	ENSG00000158552;ENSG00000178381	ZFAND2B;ZFAND2A	
WBGene00000098	air-1	K07C11.2	ENSG00000087586;ENSG00000105146;ENSG00000163482;ENSG00000178999	AURKA;AURKC;STK36;AURKB	Colon cancer, susceptibility to, 114500;Spermatogenic failure 5, 243060;;
WBGene00000099	air-2	B0207.4	ENSG00000087586;ENSG00000105146;ENSG00000178999	AURKA;AURKC;AURKB	Colon cancer, susceptibility to, 114500;Spermatogenic failure 5, 243060;
WBGene00000100	ajm-1	C25A11.4	ENSG00000232434;ENSG00000100285;ENSG00000159450	C9orf172;NEFH;TCHH	Amyotrophic lateral sclerosis, susceptibility to, 105400|Charcot-Marie-Tooth disease, axonal, type 2CC, 616924;Uncombable hair syndrome 3, 617252
WBGene00000101	aka-1	D1022.7	ENSG00000039319;ENSG00000157077;ENSG00000100711	ZFYVE16;ZFYVE9;ZFYVE21	
WBGene00000102	akt-1	C12D8.10	ENSG00000105221;ENSG00000142208;ENSG00000117020;ENSG00000275199;ENSG00000101049;ENSG00000104205;ENSG00000118515;ENSG00000108443;ENSG00000175634	AKT2;AKT1;AKT3;AKT3;SGK2;SGK3;SGK1;RPS6KB1;RPS6KB2	Diabetes mellitus, type II, 125853|Hypoinsulinemic hypoglycemia with hemihypertrophy, 240900;Breast cancer, somatic, 114480|Colorectal cancer, somatic, 114500|Cowden syndrome 6, 615109|Ovarian cancer, somatic, 167000|Proteus syndrome, somatic, 176920|Schizophrenia, susceptibility to, 181500;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2, 615937;;;;;;
WBGene00000103	akt-2	F28H6.1	ENSG00000105221;ENSG00000142208;ENSG00000117020;ENSG00000275199;ENSG00000101049;ENSG00000104205;ENSG00000118515;ENSG00000108443;ENSG00000175634	AKT2;AKT1;AKT3;AKT3;SGK2;SGK3;SGK1;RPS6KB1;RPS6KB2	Diabetes mellitus, type II, 125853|Hypoinsulinemic hypoglycemia with hemihypertrophy, 240900;Breast cancer, somatic, 114480|Colorectal cancer, somatic, 114500|Cowden syndrome 6, 615109|Ovarian cancer, somatic, 167000|Proteus syndrome, somatic, 176920|Schizophrenia, susceptibility to, 181500;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2, 615937;;;;;;
WBGene00000105	alg-1	F48F7.1	ENSG00000123908;ENSG00000092847;ENSG00000126070;ENSG00000134698	AGO2;AGO1;AGO3;AGO4	
WBGene00000106	alg-2	T07D3.7	ENSG00000123908;ENSG00000092847;ENSG00000126070;ENSG00000134698	AGO2;AGO1;AGO3;AGO4	
WBGene00000107	alh-1	F54D8.3	ENSG00000111275;ENSG00000137124;ENSG00000128918;ENSG00000165092;ENSG00000184254;ENSG00000257767	ALDH2;ALDH1B1;ALDH1A2;ALDH1A1;ALDH1A3;	Alcohol sensitivity, acute, 610251|Esophageal cancer, alcohol-related, susceptibility to|Hangover, susceptibility to, 610251|Sublingual nitroglycerin, susceptibility to poor response to;;;;Microphthalmia, isolated 8, 615113;
WBGene00000108	alh-2	K04F1.15	ENSG00000111275;ENSG00000137124;ENSG00000128918;ENSG00000165092;ENSG00000184254;ENSG00000257767	ALDH2;ALDH1B1;ALDH1A2;ALDH1A1;ALDH1A3;	Alcohol sensitivity, acute, 610251|Esophageal cancer, alcohol-related, susceptibility to|Hangover, susceptibility to, 610251|Sublingual nitroglycerin, susceptibility to poor response to;;;;Microphthalmia, isolated 8, 615113;
WBGene00000109	alh-3	F36H1.6	ENSG00000144908;ENSG00000136010	ALDH1L1;ALDH1L2	
WBGene00000110	alh-4	T05H4.13	ENSG00000072210;ENSG00000108602;ENSG00000006534;ENSG00000132746	ALDH3A2;ALDH3A1;ALDH3B1;ALDH3B2	Sjogren-Larsson syndrome, 270200;;;
WBGene00000111	alh-5	T08B1.3	ENSG00000072210;ENSG00000108602;ENSG00000006534;ENSG00000132746	ALDH3A2;ALDH3A1;ALDH3B1;ALDH3B2	Sjogren-Larsson syndrome, 270200;;;
WBGene00000112	alh-6	F56D12.1	ENSG00000159423	ALDH4A1	Hyperprolinemia, type II, 239510
WBGene00000113	alh-7	F45H10.1	ENSG00000112294	ALDH5A1	Succinic semialdehyde dehydrogenase deficiency, 271980
WBGene00000114	alh-8	F13D12.4	ENSG00000119711	ALDH6A1	Methylmalonate semialdehyde dehydrogenase deficiency, 614105
WBGene00000115	alh-9	F01F1.6	ENSG00000164904	ALDH7A1	Epilepsy, pyridoxine-dependent, 266100
WBGene00000116	alh-10	C54D1.4	ENSG00000118514	ALDH8A1	
WBGene00000117	alh-11	F42G9.5	ENSG00000143149	ALDH9A1	
WBGene00000118	alh-12	Y69F12A.2	ENSG00000143149	ALDH9A1	
WBGene00000120	aly-1	C01F6.5	ENSG00000183684	ALYREF	
WBGene00000121	aly-2	F23B2.6	ENSG00000183684	ALYREF	
WBGene00000122	aly-3	M18.7	ENSG00000183684	ALYREF	
WBGene00000123	ama-1	F36A4.7	ENSG00000181222;ENSG00000148606	POLR2A;POLR3A	Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism, 60
WBGene00000137	amx-1	R13G10.2	ENSG00000165097	KDM1B	
WBGene00000138	amx-2	B0019.1	ENSG00000069535;ENSG00000189221	MAOB;MAOA	Antisocial behavior, 300615|Brunner syndrome, 300615
WBGene00000139	amx-3	F25C8.2	ENSG00000088826;ENSG00000148832	SMOX;PAOX	
WBGene00000140	anc-1	ZK973.6	ENSG00000131018;ENSG00000054654;ENSG00000137877;ENSG00000165959;ENSG00000138778;ENSG00000117724;ENSG00000144674;ENSG00000173230	SYNE1;SYNE2;SPTBN5;CLMN;CENPE;CENPF;GOLGA4;GOLGB1	Emery-Dreifuss muscular dystrophy 4, autosomal dominant, 612998|Spinocerebellar ataxia, autosomal recessive 8, 610743;Emery-Dreifuss muscular dystrophy 5, autosomal dominant, 612999;;;Microcephaly 13, primary, autosomal recessive, 616051;Stromme syndrome, 243605;;
WBGene00000142	aos-1	C08B6.9	ENSG00000142230	SAE1	
WBGene00000143	apc-2	K06H7.6	ENSG00000176248	ANAPC2	
WBGene00000144	apc-10	F15H10.3	ENSG00000164162	ANAPC10	
WBGene00000145	apc-11	F35G12.9	ENSG00000141552	ANAPC11	
WBGene00000146	ape-1	F46F3.4	ENSG00000088808;ENSG00000143514;ENSG00000104881	PPP1R13B;TP53BP2;PPP1R13L	
WBGene00000147	aph-1	VF36H2L.1	ENSG00000117362;ENSG00000138613	APH1A;APH1B	
WBGene00000148	aph-2	ZC434.6	ENSG00000162736	NCSTN	Acne inversa, familial, 1, 142690
WBGene00000149	apl-1	C42D8.8	ENSG00000084234;ENSG00000142192;ENSG00000105290	APLP2;APP;APLP1	Alzheimer disease 1, familial, 104300|Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants, 605714;
WBGene00000150	apm-1	F55A12.7	ENSG00000129354;ENSG00000072958	AP1M2;AP1M1	
WBGene00000155	app-1	W03G9.4	ENSG00000108039;ENSG00000122121	XPNPEP1;XPNPEP2	Angioedema induced by ACE inhibitors, susceptibility to, 300909
WBGene00000156	apr-1	K04G2.8	ENSG00000134982;ENSG00000115266;ENSG00000258864	APC;APC2;	Adenoma, periampullary, somatic|Adenomatous polyposis coli, 175100|Brain tumor-polyposis syndrome 2, 175100|Colorectal cancer, somatic, 114500|Desmoid disease, hereditary, 135290|Gardner syndrome, 175100|Gastric cancer, somatic, 613659|Hepatoblastoma, somatic, 114550;Sotos syndrome 3, 617169;
WBGene00000157	aps-2	F02E8.3	ENSG00000042753	AP2S1	Hypocalciuric hypercalcemia, type III, 600740
WBGene00000158	apg-1	Y105E8A.9	ENSG00000166747;ENSG00000213983;ENSG00000081014	AP1G1;AP1G2;AP4E1	Spastic paraplegia 51, autosomal recessive, 613744|Stuttering, familial persistent, 1, 184450
WBGene00000159	aps-1	F29G9.3	ENSG00000182287;ENSG00000106367;ENSG00000152056;ENSG00000280852	AP1S2;AP1S1;AP1S3;	Mental retardation, X-linked syndromic 5, 304340;MEDNIK syndrome, 609313;Psoriasis 15, pustular, susceptibility to, 616106;
WBGene00000160	apb-1	Y71H2B.10	ENSG00000100280;ENSG00000006125	AP1B1;AP2B1	
WBGene00000161	apa-2	T20B5.1	ENSG00000183020;ENSG00000196961	AP2A2;AP2A1	
WBGene00000162	apd-3	W09G10.4	ENSG00000065000	AP3D1	Hermansky-Pudlak syndrome 10, 617050
WBGene00000163	apb-3	R11A5.1	ENSG00000103723;ENSG00000132842	AP3B2;AP3B1	Epileptic encephalopathy, early infantile, 48, 617276;Hermansky-Pudlak syndrome 2, 608233
WBGene00000164	apm-3	F53H8.1	ENSG00000185009;ENSG00000070718	AP3M1;AP3M2	
WBGene00000165	aps-3	Y48G8AL.14	ENSG00000157823;ENSG00000177879;ENSG00000242498	AP3S2;AP3S1;ARPIN	
WBGene00000166	apt-9	W04G3.4	ENSG00000100083;ENSG00000125447;ENSG00000103365	GGA1;GGA3;GGA2	
WBGene00000169	aqp-1	F32A5.5	ENSG00000143595;ENSG00000103569;ENSG00000165269;ENSG00000165272;ENSG00000259916;ENSG00000277737	AQP10;AQP9;AQP7;AQP3;;	Glycerol quantitative trait locus, 614411;Blood group GIL, 607457;;
WBGene00000170	aqp-2	C01G6.1	ENSG00000143595;ENSG00000165272;ENSG00000103569;ENSG00000165269;ENSG00000259916;ENSG00000277737;ENSG00000161798;ENSG00000171885	AQP10;AQP3;AQP9;AQP7;;;AQP5;AQP4	Blood group GIL, 607457;;Glycerol quantitative trait locus, 614411;;;Palmoplantar keratoderma, Bothnian type, 600231;
WBGene00000171	aqp-3	Y69E1A.7	ENSG00000143595;ENSG00000103569;ENSG00000165269;ENSG00000165272;ENSG00000259916;ENSG00000277737;ENSG00000161798;ENSG00000171885	AQP10;AQP9;AQP7;AQP3;;;AQP5;AQP4	Glycerol quantitative trait locus, 614411;Blood group GIL, 607457;;;Palmoplantar keratoderma, Bothnian type, 600231;
WBGene00000172	aqp-4	F40F9.9	ENSG00000103375	AQP8	
WBGene00000173	aqp-5	C35A5.1	ENSG00000103375	AQP8	
WBGene00000174	aqp-6	C32C4.2	ENSG00000103375;ENSG00000240583	AQP8;AQP1	Aquaporin-1 deficiency|Blood group, Colton, 110450
WBGene00000175	aqp-7	M02F4.8	ENSG00000143595;ENSG00000165272;ENSG00000103569;ENSG00000165269;ENSG00000259916;ENSG00000277737;ENSG00000161798;ENSG00000171885	AQP10;AQP3;AQP9;AQP7;;;AQP5;AQP4	Blood group GIL, 607457;;Glycerol quantitative trait locus, 614411;;;Palmoplantar keratoderma, Bothnian type, 600231;
WBGene00000176	aqp-8	K02G10.7	ENSG00000143595;ENSG00000165272;ENSG00000103569;ENSG00000165269;ENSG00000259916;ENSG00000277737;ENSG00000161798;ENSG00000171885	AQP10;AQP3;AQP9;AQP7;;;AQP5;AQP4	Blood group GIL, 607457;;Glycerol quantitative trait locus, 614411;;;Palmoplantar keratoderma, Bothnian type, 600231;
WBGene00000177	aqp-9	K07A1.16	ENSG00000178301;ENSG00000184945;ENSG00000185176	AQP11;AQP12A;AQP12B	
WBGene00000178	aqp-10	ZK1321.3	ENSG00000178301;ENSG00000184945;ENSG00000185176	AQP11;AQP12A;AQP12B	
WBGene00000180	arc-1	ZK1320.6	ENSG00000113595	TRIM23	
WBGene00000181	ard-1	F01G4.2	ENSG00000072506	HSD17B10	HSD10 mitochondrial disease, 300438
WBGene00000182	arf-1.2	B0336.2	ENSG00000143761;ENSG00000134287;ENSG00000004059;ENSG00000168374;ENSG00000272822;ENSG00000113595	ARF1;ARF3;ARF5;ARF4;;TRIM23	
WBGene00000183	arf-3	F57H12.1	ENSG00000004059;ENSG00000168374;ENSG00000134287;ENSG00000143761;ENSG00000113595;ENSG00000272822	ARF5;ARF4;ARF3;ARF1;TRIM23;	
WBGene00000184	arf-6	Y116A8C.12	ENSG00000165527	ARF6	
WBGene00000186	ark-1	C01C7.1	ENSG00000099308	MAST3	
WBGene00000187	arl-1	F54C9.10	ENSG00000120805	ARL1	
WBGene00000188	arl-3	F19H8.3	ENSG00000138175	ARL3	
WBGene00000189	arl-5	ZK632.8	ENSG00000162980;ENSG00000165997;ENSG00000141748;ENSG00000255863	ARL5A;ARL5B;ARL5C;	
WBGene00000190	arf-1.1	F45E4.1	ENSG00000122644;ENSG00000152213;ENSG00000175414;ENSG00000175906;ENSG00000179674;ENSG00000188042;ENSG00000196503	ARL4A;ARL11;ARL10;ARL4D;ARL14;ARL4C;ARL9	
WBGene00000192	arl-8	Y57G11C.13	ENSG00000143862;ENSG00000134108	ARL8A;ARL8B	
WBGene00000193	arl-6	C38D4.8	ENSG00000113966	ARL6	Bardet-Biedl syndrome 1, modifier of, 209900|Bardet-Biedl syndrome 3, 600151|Retinitis pigmentosa 55, 613575
WBGene00000195	arr-1	F53H8.2	ENSG00000137486;ENSG00000141480;ENSG00000120500;ENSG00000130561;ENSG00000281857	ARRB1;ARRB2;ARR3;SAG;SAG	Myopia 26, X-linked, female-limited, 301010;Oguchi disease-1, 258100|Retinitis pigmentosa 47, 613758;
WBGene00000196	aars-1	W02B12.6	ENSG00000124608	AARS2	Combined oxidative phosphorylation deficiency 8, 614096|Leukoencephalopathy, progressive, with ovarian failure, 615889
WBGene00000197	aars-2	F28H1.3	ENSG00000090861;ENSG00000124608	AARS;AARS2	Charcot-Marie-Tooth disease, axonal, type 2N, 613287|Epileptic encephalopathy, early infantile, 29, 616339;Combined oxidative phosphorylation deficiency 8, 614096|Leukoencephalopathy, progressive, with ovarian failure, 615889
WBGene00000198	art-1	C15F1.6	ENSG00000099797;ENSG00000205678	TECR;TECRL	Mental retardation, autosomal recessive 14, 614020;Ventricular tachycardia, catecholaminergic polymorphic, 3, 614021
WBGene00000199	arx-1	Y71F9AL.16	ENSG00000115091;ENSG00000133627;ENSG00000106526	ACTR3;ACTR3B;ACTR3C	
WBGene00000200	arx-2	K07C5.1	ENSG00000138071;ENSG00000213985	ACTR2;	
WBGene00000201	arx-3	Y79H2A.6	ENSG00000241685;ENSG00000130429;ENSG00000284292	ARPC1A;ARPC1B;	Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease, 617718;
WBGene00000202	exos-4.2	Y6D11A.1	ENSG00000223496	EXOSC6	
WBGene00000203	arx-5	Y37D8A.1	ENSG00000111229	ARPC3	
WBGene00000204	arx-6	C35D10.16	ENSG00000241553;ENSG00000250151	ARPC4;ARPC4-TTLL3	
WBGene00000205	arx-7	M01B12.3	ENSG00000162704;ENSG00000136950	ARPC5;ARPC5L	
WBGene00000206	asb-1	F35G12.10	ENSG00000116459	ATP5F1	
WBGene00000207	asb-2	F02E8.1	ENSG00000116459	ATP5F1	
WBGene00000208	asc-1	Y53F4B.15	ENSG00000103671	TRIP4	Muscular dystrophy, congenital, Davignon-Chauveau type, 617066|Spinal muscular atrophy with congenital bone fractures 1, 616866
WBGene00000209	asg-1	K07A12.3	ENSG00000167283;ENSG00000249222	ATP5L;ATP5L2	
WBGene00000210	asg-2	C53B7.4	ENSG00000167283;ENSG00000249222	ATP5L;ATP5L2	
WBGene00000211	asm-1	B0252.2	ENSG00000166311	SMPD1	Niemann-Pick disease, type A, 257200|Niemann-Pick disease, type B, 607616
WBGene00000212	asm-2	ZK455.4	ENSG00000166311	SMPD1	Niemann-Pick disease, type A, 257200|Niemann-Pick disease, type B, 607616
WBGene00000213	asm-3	W03G1.7	ENSG00000166311	SMPD1	Niemann-Pick disease, type A, 257200|Niemann-Pick disease, type B, 607616
WBGene00000214	asp-1	Y39B6A.20	ENSG00000096088;ENSG00000182240;ENSG00000186318;ENSG00000196188;ENSG00000229183;ENSG00000229859;ENSG00000256713	PGC;BACE2;BACE1;CTSE;PGA4;PGA3;PGA5	
WBGene00000215	asp-2	T18H9.2	ENSG00000096088;ENSG00000182240;ENSG00000186318;ENSG00000196188;ENSG00000229183;ENSG00000229859;ENSG00000256713	PGC;BACE2;BACE1;CTSE;PGA4;PGA3;PGA5	
WBGene00000216	asp-3	H22K11.1	ENSG00000131400;ENSG00000196188;ENSG00000117984;ENSG00000143839;ENSG00000182240;ENSG00000186318;ENSG00000250644;ENSG00000131401	NAPSA;CTSE;CTSD;REN;BACE2;BACE1;;	Ceroid lipofuscinosis, neuronal, 10, 610127;Hyperproreninemia|Hyperuricemic nephropathy, familial juvenile 2, 613092|Renal tubular dysgenesis, 267430;;;;
WBGene00000217	asp-4	R12H7.2	ENSG00000117984;ENSG00000250644;ENSG00000131400;ENSG00000143839;ENSG00000182240;ENSG00000186318;ENSG00000196188;ENSG00000131401	CTSD;;NAPSA;REN;BACE2;BACE1;CTSE;	Ceroid lipofuscinosis, neuronal, 10, 610127;;;Hyperproreninemia|Hyperuricemic nephropathy, familial juvenile 2, 613092|Renal tubular dysgenesis, 267430;;;;
WBGene00000218	asp-5	F21F8.3	ENSG00000096088;ENSG00000182240;ENSG00000186318;ENSG00000196188;ENSG00000229183;ENSG00000229859;ENSG00000256713	PGC;BACE2;BACE1;CTSE;PGA4;PGA3;PGA5	
WBGene00000219	asp-6	F21F8.7	ENSG00000096088;ENSG00000182240;ENSG00000186318;ENSG00000196188;ENSG00000229183;ENSG00000229859;ENSG00000256713	PGC;BACE2;BACE1;CTSE;PGA4;PGA3;PGA5	
WBGene00000220	atf-2	K08F8.2	ENSG00000165030	NFIL3	
WBGene00000222	atf-6	F45E6.2	ENSG00000118217;ENSG00000213676;ENSG00000168468;ENSG00000228628;ENSG00000234539	ATF6;ATF6B;ATF6B;ATF6B;ATF6B	Achromatopsia 7, 616517;;;;
WBGene00000223	atf-7	C07G2.2	ENSG00000115966;ENSG00000146592;ENSG00000170653	ATF2;CREB5;ATF7	
WBGene00000224	atgp-1	F26D10.9	ENSG00000138079;ENSG00000168003	SLC3A1;SLC3A2	Cystinuria, 220100;
WBGene00000225	atgp-2	C38C6.2	ENSG00000138079;ENSG00000168003	SLC3A1;SLC3A2	Cystinuria, 220100;
WBGene00000226	atl-1	T06E4.3	ENSG00000175054;ENSG00000253729	ATR;PRKDC	Cutaneous telangiectasia and cancer syndrome, familial, 614564|Seckel syndrome 1, 210600;Immunodeficiency 26, with or without neurologic abnormalities, 615966
WBGene00000227	atm-1	Y48G1BL.2	ENSG00000149311	ATM	Ataxia-telangiectasia, 208900|Breast cancer, susceptibility to, 114480|Lymphoma, B-cell non-Hodgkin, somatic|Lymphoma, mantle cell, somatic|T-cell prolymphocytic leukemia, somatic
WBGene00000228	atn-1	W04D2.1	ENSG00000072110;ENSG00000077522;ENSG00000130402;ENSG00000248746;ENSG00000282844	ACTN1;ACTN2;ACTN4;ACTN3;ACTN4	Bleeding disorder, platelet-type, 15, 615193;Cardiomyopathy, dilated, 1AA, with or without LVNC, 612158|Cardiomyopathy, hypertrophic, 23, with or without LVNC, 612158;Glomerulosclerosis, focal segmental, 1, 603278;Alpha-actinin-3 deficiency, 617749|Sprinting performance, 617749;
WBGene00000229	atp-2	C34E10.6	ENSG00000110955	ATP5B	
WBGene00000230	atp-3	F27C1.7	ENSG00000241837;ENSG00000249209	ATP5O;	
WBGene00000231	atx-2	D2045.1	ENSG00000168488;ENSG00000204842	ATXN2L;ATXN2	Amyotrophic lateral sclerosis, susceptibility to, 13, 183090|Parkinson disease, late-onset, susceptibility to, 168600|Spinocerebellar ataxia 2, 183090
WBGene00000232	avr-14	B0207.12	ENSG00000145888;ENSG00000101958;ENSG00000145451;ENSG00000188828;ENSG00000109738	GLRA1;GLRA2;GLRA3;GLRA4;GLRB	Hyperekplexia, hereditary 1, autosomal dominant or recessive, 149400;;;;Hyperekplexia 2, autosomal recessive, 614619
WBGene00000233	avr-15	R11G10.1	ENSG00000145888;ENSG00000101958;ENSG00000145451;ENSG00000188828;ENSG00000109738	GLRA1;GLRA2;GLRA3;GLRA4;GLRB	Hyperekplexia, hereditary 1, autosomal dominant or recessive, 149400;;;;Hyperekplexia 2, autosomal recessive, 614619
WBGene00000235	baf-1	B0464.7	ENSG00000175334;ENSG00000125888	BANF1;BANF2	Nestor-Guillermo progeria syndrome, 614008;
WBGene00000236	bag-1	F57B10.11	ENSG00000107262	BAG1	
WBGene00000238	bar-1	C54D1.6	ENSG00000168036;ENSG00000173801	CTNNB1;JUP	Colorectal cancer, somatic, 114500|Exudative vitreoretinopathy 7, 617572|Hepatocellular carcinoma, somatic, 114550|Medulloblastoma, somatic, 155255|Mental retardation, autosomal dominant 19, 615075|Ovarian cancer, somatic, 167000|Pilomatricoma, somatic, 132600;Arrhythmogenic right ventricular dysplasia 12, 611528|Naxos disease, 601214
WBGene00000239	bas-1	C05D2.4	ENSG00000132437	DDC	Aromatic L-amino acid decarboxylase deficiency, 608643
WBGene00000240	pah-1	K08F8.4	ENSG00000171759	PAH	Hyperphenylalaninemia, non-PKU mild, 261600|Phenylketonuria, 261600
WBGene00000241	bbs-1	Y105E8A.5	ENSG00000174483;ENSG00000256349	BBS1;	Bardet-Biedl syndrome 1, 209900;
WBGene00000242	bbs-2	F20D12.3	ENSG00000125124	BBS2	Bardet-Biedl syndrome 2, 615981|Retinitis pigmentosa 74, 616562
WBGene00000244	bbs-8	T25F10.5	ENSG00000165533	TTC8	Bardet-Biedl syndrome 8, 615985|Retinitis pigmentosa 51, 613464
WBGene00000246	bcc-1	M7.3	ENSG00000122870	BICC1	Renal dysplasia, cystic, susceptibility to, 601331
WBGene00000247	bec-1	T19E7.3	ENSG00000126581;ENSG00000196289	BECN1;BECN2	
WBGene00000248	ben-1	C54C6.2	ENSG00000198211;ENSG00000196230;ENSG00000258947;ENSG00000176014;ENSG00000137285;ENSG00000188229;ENSG00000104833;ENSG00000137267;ENSG00000183311;ENSG00000224156;ENSG00000227739;ENSG00000229684;ENSG00000232421;ENSG00000232575;ENSG00000235067;ENSG00000101162;ENSG00000127589;ENSG00000159247;ENSG00000173213;ENSG00000173876	TUBB;TUBB3;TUBB6;TUBB2B;TUBB4B;TUBB4A;TUBB2A;TUBB;TUBB;TUBB;TUBB;TUBB;TUBB;TUBB;TUBB1;;;;	Cortical dysplasia, complex, with other brain malformations 6, 615771|Symmetric circumferential skin creases, congenital, 1, 156610;Cortical dysplasia, complex, with other brain malformations 1, 614039|Fibrosis of extraocular muscles, congenital, 3A, 600638;Facial palsy, congenitla, with ptosis and velopharyngeal dysfunction, 617732;Cortical dysplasia, complex, with other brain malformations 7, 610031;;Dystonia 4, torsion, autosomal dominant, 128101|Leukodystrophy, hypomyelinating, 6, 612438;Cortical dysplasia, complex, with other brain malformations 5, 615763;;;;;;;;Macrothrombocytopenia, autosomal dominant, TUBB1-related, 613112;;;;
WBGene00000249	bir-1	T27F2.3	ENSG00000089685	BIRC5	
WBGene00000250	bir-2	C50B8.2	ENSG00000089685	BIRC5	
WBGene00000251	bli-1	C09G5.6	ENSG00000133661	SFTPD	
WBGene00000252	bli-2	F59E12.12	ENSG00000019169	MARCO	
WBGene00000253	bli-3	F56C11.1	ENSG00000140279;ENSG00000137857;ENSG00000007952;ENSG00000074771;ENSG00000165168	DUOX2;DUOX1;NOX1;NOX3;CYBB	Thyroid dyshormonogenesis 6, 607200;;;;Chronic granulomatous disease, X-linked, 306400|Immunodeficiency 34, mycobacteriosis, X-linked, 300645
WBGene00000254	bli-4	K04F10.4	ENSG00000140479;ENSG00000115257;ENSG00000099139;ENSG00000140564;ENSG00000175426;ENSG00000160613	PCSK6;PCSK4;PCSK5;FURIN;PCSK1;PCSK7	Obesity with impaired prohormone processing, 600955|Obesity, susceptibility to, BMIQ12, 612362;
WBGene00000256	bli-6	Y73B6BL.34	ENSG00000019169	MARCO	
